N,K,Min Ratio,Average Ratio,Max Ratio,Min Time,Average Time,Max Time,Standard Deviation (Ratio),Standard Deviation (Time)
20,2,1.028,1.028,1.028,0.005,0.005,0.005,0.000,0.000
20,2,1.137,1.137,1.137,0.004,0.004,0.004,0.000,0.000
20,2,1.165,1.165,1.165,0.006,0.006,0.006,0.000,0.000
20,2,1.055,1.055,1.055,0.006,0.006,0.006,0.000,0.000
20,2,1.152,1.152,1.152,0.004,0.004,0.004,0.000,0.000
20,2,1.159,1.159,1.159,0.004,0.004,0.004,0.000,0.000
20,2,1.233,1.233,1.233,0.004,0.004,0.004,0.000,0.000
20,2,1.026,1.026,1.026,0.005,0.005,0.005,0.000,0.000
20,2,1.173,1.173,1.173,0.005,0.005,0.005,0.000,0.000
20,2,1.106,1.106,1.106,0.004,0.004,0.004,0.000,0.000
20,2,1.003,1.003,1.003,0.005,0.005,0.005,0.000,0.000
20,2,1.279,1.279,1.279,0.004,0.004,0.004,0.000,0.000
20,2,1.156,1.156,1.156,0.004,0.004,0.004,0.000,0.000
20,2,1.243,1.243,1.243,0.004,0.004,0.004,0.000,0.000
20,2,1.044,1.044,1.044,0.004,0.004,0.004,0.000,0.000
20,2,1.019,1.019,1.019,0.004,0.004,0.004,0.000,0.000
20,2,1.098,1.098,1.098,0.005,0.005,0.005,0.000,0.000
20,2,1.208,1.208,1.208,0.004,0.004,0.004,0.000,0.000
20,2,1.047,1.047,1.047,0.006,0.006,0.006,0.000,0.000
20,2,1.412,1.412,1.412,0.005,0.005,0.005,0.000,0.000
20,2,1.048,1.048,1.048,0.004,0.004,0.004,0.000,0.000
20,2,1.043,1.043,1.043,0.006,0.006,0.006,0.000,0.000
20,2,1.045,1.045,1.045,0.004,0.004,0.004,0.000,0.000
20,2,1.075,1.075,1.075,0.004,0.004,0.004,0.000,0.000
20,2,1.008,1.008,1.008,0.004,0.004,0.004,0.000,0.000
20,2,1.049,1.049,1.049,0.005,0.005,0.005,0.000,0.000
20,2,1.250,1.250,1.250,0.005,0.005,0.005,0.000,0.000
20,2,1.129,1.129,1.129,0.004,0.004,0.004,0.000,0.000
20,2,1.105,1.105,1.105,0.004,0.004,0.004,0.000,0.000
20,2,1.045,1.045,1.045,0.006,0.006,0.006,0.000,0.000
20,2,1.081,1.081,1.081,0.004,0.004,0.004,0.000,0.000
20,2,1.267,1.267,1.267,0.005,0.005,0.005,0.000,0.000
20,2,1.027,1.027,1.027,0.004,0.004,0.004,0.000,0.000
20,2,1.098,1.098,1.098,0.004,0.004,0.004,0.000,0.000
20,2,1.167,1.167,1.167,0.008,0.008,0.008,0.000,0.000
20,2,1.004,1.004,1.004,0.004,0.004,0.004,0.000,0.000
20,2,1.064,1.064,1.064,0.004,0.004,0.004,0.000,0.000
20,2,1.109,1.109,1.109,0.005,0.005,0.005,0.000,0.000
20,2,1.086,1.086,1.086,0.004,0.004,0.004,0.000,0.000
20,2,1.116,1.116,1.116,0.005,0.005,0.005,0.000,0.000
20,2,1.296,1.296,1.296,0.004,0.004,0.004,0.000,0.000
20,2,1.003,1.003,1.003,0.005,0.005,0.005,0.000,0.000
20,2,1.126,1.126,1.126,0.004,0.004,0.004,0.000,0.000
20,2,1.261,1.261,1.261,0.004,0.004,0.004,0.000,0.000
20,2,1.104,1.104,1.104,0.004,0.004,0.004,0.000,0.000
20,2,1.200,1.200,1.200,0.004,0.004,0.004,0.000,0.000
20,2,1.000,1.000,1.000,0.004,0.004,0.004,0.000,0.000
20,2,1.055,1.055,1.055,0.004,0.004,0.004,0.000,0.000
20,2,1.095,1.095,1.095,0.004,0.004,0.004,0.000,0.000
20,2,1.008,1.008,1.008,0.005,0.005,0.005,0.000,0.000
20,2,1.265,1.265,1.265,0.004,0.004,0.004,0.000,0.000
20,2,1.125,1.125,1.125,0.005,0.005,0.005,0.000,0.000
20,2,1.020,1.020,1.020,0.004,0.004,0.004,0.000,0.000
20,2,1.383,1.383,1.383,0.004,0.004,0.004,0.000,0.000
20,2,1.109,1.109,1.109,0.005,0.005,0.005,0.000,0.000
20,2,1.104,1.104,1.104,0.004,0.004,0.004,0.000,0.000
20,2,1.053,1.053,1.053,0.004,0.004,0.004,0.000,0.000
20,2,1.077,1.077,1.077,0.005,0.005,0.005,0.000,0.000
20,2,1.183,1.183,1.183,0.005,0.005,0.005,0.000,0.000
20,2,1.090,1.090,1.090,0.005,0.005,0.005,0.000,0.000
20,2,1.250,1.250,1.250,0.005,0.005,0.005,0.000,0.000
20,2,1.150,1.150,1.150,0.004,0.004,0.004,0.000,0.000
20,2,1.036,1.036,1.036,0.004,0.004,0.004,0.000,0.000
20,2,1.021,1.021,1.021,0.004,0.004,0.004,0.000,0.000
20,2,1.062,1.062,1.062,0.005,0.005,0.005,0.000,0.000
20,2,1.221,1.221,1.221,0.004,0.004,0.004,0.000,0.000
20,2,1.080,1.080,1.080,0.004,0.004,0.004,0.000,0.000
20,2,1.180,1.180,1.180,0.005,0.005,0.005,0.000,0.000
20,2,1.030,1.030,1.030,0.004,0.004,0.004,0.000,0.000
20,2,1.077,1.077,1.077,0.004,0.004,0.004,0.000,0.000
20,2,1.000,1.000,1.000,0.004,0.004,0.004,0.000,0.000
20,2,1.187,1.187,1.187,0.004,0.004,0.004,0.000,0.000
20,2,1.148,1.148,1.148,0.005,0.005,0.005,0.000,0.000
20,2,1.026,1.026,1.026,0.006,0.006,0.006,0.000,0.000
20,2,1.238,1.238,1.238,0.005,0.005,0.005,0.000,0.000
20,2,1.050,1.050,1.050,0.004,0.004,0.004,0.000,0.000
20,2,1.211,1.211,1.211,0.005,0.005,0.005,0.000,0.000
20,2,1.058,1.058,1.058,0.004,0.004,0.004,0.000,0.000
20,2,1.011,1.011,1.011,0.005,0.005,0.005,0.000,0.000
20,2,1.142,1.142,1.142,0.005,0.005,0.005,0.000,0.000
20,2,1.215,1.215,1.215,0.004,0.004,0.004,0.000,0.000
20,2,1.000,1.000,1.000,0.005,0.005,0.005,0.000,0.000
20,2,1.071,1.071,1.071,0.005,0.005,0.005,0.000,0.000
20,2,1.101,1.101,1.101,0.004,0.004,0.004,0.000,0.000
20,2,1.162,1.162,1.162,0.004,0.004,0.004,0.000,0.000
20,2,1.001,1.001,1.001,0.004,0.004,0.004,0.000,0.000
20,2,1.036,1.036,1.036,0.005,0.005,0.005,0.000,0.000
20,2,1.010,1.010,1.010,0.005,0.005,0.005,0.000,0.000
20,2,1.099,1.099,1.099,0.004,0.004,0.004,0.000,0.000
20,2,1.167,1.167,1.167,0.004,0.004,0.004,0.000,0.000
20,2,1.256,1.256,1.256,0.004,0.004,0.004,0.000,0.000
20,2,1.234,1.234,1.234,0.006,0.006,0.006,0.000,0.000
20,2,1.021,1.021,1.021,0.004,0.004,0.004,0.000,0.000
20,2,1.060,1.060,1.060,0.004,0.004,0.004,0.000,0.000
20,2,1.107,1.107,1.107,0.006,0.006,0.006,0.000,0.000
20,2,1.210,1.210,1.210,0.005,0.005,0.005,0.000,0.000
20,2,1.110,1.110,1.110,0.004,0.004,0.004,0.000,0.000
20,2,1.057,1.057,1.057,0.006,0.006,0.006,0.000,0.000
20,2,1.058,1.058,1.058,0.004,0.004,0.004,0.000,0.000
20,2,1.121,1.121,1.121,0.004,0.004,0.004,0.000,0.000
20,3,1.056,1.056,1.056,0.006,0.006,0.006,0.000,0.000
20,3,1.109,1.109,1.109,0.005,0.005,0.005,0.000,0.000
20,3,1.134,1.134,1.134,0.004,0.004,0.004,0.000,0.000
20,3,1.107,1.107,1.107,0.005,0.005,0.005,0.000,0.000
20,3,1.238,1.238,1.238,0.005,0.005,0.005,0.000,0.000
20,3,1.010,1.010,1.010,0.004,0.004,0.004,0.000,0.000
20,3,1.000,1.000,1.000,0.004,0.004,0.004,0.000,0.000
20,3,1.010,1.010,1.010,0.004,0.004,0.004,0.000,0.000
20,3,1.131,1.131,1.131,0.004,0.004,0.004,0.000,0.000
20,3,1.159,1.159,1.159,0.005,0.005,0.005,0.000,0.000
20,3,1.262,1.262,1.262,0.006,0.006,0.006,0.000,0.000
20,3,1.044,1.044,1.044,0.004,0.004,0.004,0.000,0.000
20,3,1.137,1.137,1.137,0.004,0.004,0.004,0.000,0.000
20,3,1.150,1.150,1.150,0.007,0.007,0.007,0.000,0.000
20,3,1.021,1.021,1.021,0.005,0.005,0.005,0.000,0.000
20,3,1.054,1.054,1.054,0.004,0.004,0.004,0.000,0.000
20,3,1.065,1.065,1.065,0.004,0.004,0.004,0.000,0.000
20,3,1.258,1.258,1.258,0.004,0.004,0.004,0.000,0.000
20,3,1.255,1.255,1.255,0.005,0.005,0.005,0.000,0.000
20,3,1.084,1.084,1.084,0.004,0.004,0.004,0.000,0.000
20,3,1.041,1.041,1.041,0.006,0.006,0.006,0.000,0.000
20,3,1.081,1.081,1.081,0.004,0.004,0.004,0.000,0.000
20,3,1.005,1.005,1.005,0.004,0.004,0.004,0.000,0.000
20,3,1.136,1.136,1.136,0.005,0.005,0.005,0.000,0.000
20,3,1.062,1.062,1.062,0.004,0.004,0.004,0.000,0.000
20,3,1.378,1.378,1.378,0.005,0.005,0.005,0.000,0.000
20,3,1.054,1.054,1.054,0.004,0.004,0.004,0.000,0.000
20,3,1.099,1.099,1.099,0.004,0.004,0.004,0.000,0.000
20,3,1.311,1.311,1.311,0.005,0.005,0.005,0.000,0.000
20,3,1.290,1.290,1.290,0.005,0.005,0.005,0.000,0.000
20,3,1.272,1.272,1.272,0.005,0.005,0.005,0.000,0.000
20,3,1.202,1.202,1.202,0.004,0.004,0.004,0.000,0.000
20,3,1.157,1.157,1.157,0.004,0.004,0.004,0.000,0.000
20,3,1.182,1.182,1.182,0.004,0.004,0.004,0.000,0.000
20,3,1.246,1.246,1.246,0.005,0.005,0.005,0.000,0.000
20,3,1.044,1.044,1.044,0.004,0.004,0.004,0.000,0.000
20,3,1.055,1.055,1.055,0.004,0.004,0.004,0.000,0.000
20,3,1.099,1.099,1.099,0.004,0.004,0.004,0.000,0.000
20,3,1.010,1.010,1.010,0.004,0.004,0.004,0.000,0.000
20,3,1.108,1.108,1.108,0.004,0.004,0.004,0.000,0.000
20,3,1.011,1.011,1.011,0.004,0.004,0.004,0.000,0.000
20,3,1.056,1.056,1.056,0.005,0.005,0.005,0.000,0.000
20,3,1.033,1.033,1.033,0.004,0.004,0.004,0.000,0.000
20,3,1.047,1.047,1.047,0.005,0.005,0.005,0.000,0.000
20,3,1.122,1.122,1.122,0.004,0.004,0.004,0.000,0.000
20,3,1.249,1.249,1.249,0.004,0.004,0.004,0.000,0.000
20,3,1.035,1.035,1.035,0.005,0.005,0.005,0.000,0.000
20,3,1.205,1.205,1.205,0.005,0.005,0.005,0.000,0.000
20,3,1.213,1.213,1.213,0.006,0.006,0.006,0.000,0.000
20,3,1.112,1.112,1.112,0.004,0.004,0.004,0.000,0.000
20,3,1.117,1.117,1.117,0.005,0.005,0.005,0.000,0.000
20,3,1.088,1.088,1.088,0.004,0.004,0.004,0.000,0.000
20,3,1.124,1.124,1.124,0.005,0.005,0.005,0.000,0.000
20,3,1.083,1.083,1.083,0.004,0.004,0.004,0.000,0.000
20,3,1.242,1.242,1.242,0.004,0.004,0.004,0.000,0.000
20,3,1.193,1.193,1.193,0.004,0.004,0.004,0.000,0.000
20,3,1.051,1.051,1.051,0.004,0.004,0.004,0.000,0.000
20,3,1.223,1.223,1.223,0.005,0.005,0.005,0.000,0.000
20,3,1.141,1.141,1.141,0.004,0.004,0.004,0.000,0.000
20,3,1.289,1.289,1.289,0.005,0.005,0.005,0.000,0.000
20,3,1.005,1.005,1.005,0.005,0.005,0.005,0.000,0.000
20,3,1.082,1.082,1.082,0.004,0.004,0.004,0.000,0.000
20,3,1.075,1.075,1.075,0.004,0.004,0.004,0.000,0.000
20,3,1.017,1.017,1.017,0.004,0.004,0.004,0.000,0.000
20,3,1.131,1.131,1.131,0.007,0.007,0.007,0.000,0.000
20,3,1.050,1.050,1.050,0.004,0.004,0.004,0.000,0.000
20,3,1.033,1.033,1.033,0.006,0.006,0.006,0.000,0.000
20,3,1.155,1.155,1.155,0.006,0.006,0.006,0.000,0.000
20,3,1.296,1.296,1.296,0.004,0.004,0.004,0.000,0.000
20,3,1.226,1.226,1.226,0.005,0.005,0.005,0.000,0.000
20,3,1.071,1.071,1.071,0.004,0.004,0.004,0.000,0.000
20,3,1.203,1.203,1.203,0.004,0.004,0.004,0.000,0.000
20,3,1.029,1.029,1.029,0.004,0.004,0.004,0.000,0.000
20,3,1.052,1.052,1.052,0.004,0.004,0.004,0.000,0.000
20,3,1.110,1.110,1.110,0.004,0.004,0.004,0.000,0.000
20,3,1.221,1.221,1.221,0.004,0.004,0.004,0.000,0.000
20,3,1.081,1.081,1.081,0.004,0.004,0.004,0.000,0.000
20,3,1.173,1.173,1.173,0.004,0.004,0.004,0.000,0.000
20,3,1.034,1.034,1.034,0.004,0.004,0.004,0.000,0.000
20,3,1.135,1.135,1.135,0.006,0.006,0.006,0.000,0.000
20,3,1.155,1.155,1.155,0.004,0.004,0.004,0.000,0.000
20,3,1.145,1.145,1.145,0.005,0.005,0.005,0.000,0.000
20,3,1.132,1.132,1.132,0.005,0.005,0.005,0.000,0.000
20,3,1.066,1.066,1.066,0.004,0.004,0.004,0.000,0.000
20,3,1.096,1.096,1.096,0.004,0.004,0.004,0.000,0.000
20,3,1.197,1.197,1.197,0.005,0.005,0.005,0.000,0.000
20,3,1.053,1.053,1.053,0.004,0.004,0.004,0.000,0.000
20,3,1.199,1.199,1.199,0.004,0.004,0.004,0.000,0.000
20,3,1.176,1.176,1.176,0.004,0.004,0.004,0.000,0.000
20,3,1.293,1.293,1.293,0.005,0.005,0.005,0.000,0.000
20,3,1.203,1.203,1.203,0.004,0.004,0.004,0.000,0.000
20,3,1.110,1.110,1.110,0.004,0.004,0.004,0.000,0.000
20,3,1.064,1.064,1.064,0.004,0.004,0.004,0.000,0.000
20,3,1.213,1.213,1.213,0.004,0.004,0.004,0.000,0.000
20,3,1.186,1.186,1.186,0.005,0.005,0.005,0.000,0.000
20,3,1.067,1.067,1.067,0.006,0.006,0.006,0.000,0.000
20,3,1.117,1.117,1.117,0.005,0.005,0.005,0.000,0.000
20,3,1.054,1.054,1.054,0.004,0.004,0.004,0.000,0.000
20,3,1.281,1.281,1.281,0.004,0.004,0.004,0.000,0.000
20,3,1.126,1.126,1.126,0.006,0.006,0.006,0.000,0.000
20,4,1.000,1.000,1.000,0.004,0.004,0.004,0.000,0.000
20,4,1.056,1.056,1.056,0.005,0.005,0.005,0.000,0.000
20,4,1.000,1.000,1.000,0.004,0.004,0.004,0.000,0.000
20,4,1.052,1.052,1.052,0.004,0.004,0.004,0.000,0.000
20,4,1.187,1.187,1.187,0.004,0.004,0.004,0.000,0.000
20,4,1.141,1.141,1.141,0.004,0.004,0.004,0.000,0.000
20,4,1.110,1.110,1.110,0.005,0.005,0.005,0.000,0.000
20,4,1.181,1.181,1.181,0.004,0.004,0.004,0.000,0.000
20,4,1.041,1.041,1.041,0.005,0.005,0.005,0.000,0.000
20,4,1.144,1.144,1.144,0.007,0.007,0.007,0.000,0.000
20,4,1.270,1.270,1.270,0.005,0.005,0.005,0.000,0.000
20,4,1.157,1.157,1.157,0.006,0.006,0.006,0.000,0.000
20,4,1.025,1.025,1.025,0.004,0.004,0.004,0.000,0.000
20,4,1.159,1.159,1.159,0.004,0.004,0.004,0.000,0.000
20,4,1.187,1.187,1.187,0.004,0.004,0.004,0.000,0.000
20,4,1.193,1.193,1.193,0.004,0.004,0.004,0.000,0.000
20,4,1.000,1.000,1.000,0.004,0.004,0.004,0.000,0.000
20,4,1.109,1.109,1.109,0.004,0.004,0.004,0.000,0.000
20,4,1.191,1.191,1.191,0.004,0.004,0.004,0.000,0.000
20,4,1.160,1.160,1.160,0.005,0.005,0.005,0.000,0.000
20,4,1.197,1.197,1.197,0.005,0.005,0.005,0.000,0.000
20,4,1.117,1.117,1.117,0.004,0.004,0.004,0.000,0.000
20,4,1.160,1.160,1.160,0.004,0.004,0.004,0.000,0.000
20,4,1.341,1.341,1.341,0.006,0.006,0.006,0.000,0.000
20,4,1.043,1.043,1.043,0.004,0.004,0.004,0.000,0.000
20,4,1.035,1.035,1.035,0.004,0.004,0.004,0.000,0.000
20,4,1.197,1.197,1.197,0.005,0.005,0.005,0.000,0.000
20,4,1.122,1.122,1.122,0.004,0.004,0.004,0.000,0.000
20,4,1.037,1.037,1.037,0.004,0.004,0.004,0.000,0.000
20,4,1.045,1.045,1.045,0.004,0.004,0.004,0.000,0.000
20,4,1.195,1.195,1.195,0.004,0.004,0.004,0.000,0.000
20,4,1.256,1.256,1.256,0.004,0.004,0.004,0.000,0.000
20,4,1.138,1.138,1.138,0.004,0.004,0.004,0.000,0.000
20,4,1.082,1.082,1.082,0.004,0.004,0.004,0.000,0.000
20,4,1.288,1.288,1.288,0.004,0.004,0.004,0.000,0.000
20,4,1.068,1.068,1.068,0.010,0.010,0.010,0.000,0.000
20,4,1.282,1.282,1.282,0.004,0.004,0.004,0.000,0.000
20,4,1.285,1.285,1.285,0.004,0.004,0.004,0.000,0.000
20,4,1.125,1.125,1.125,0.004,0.004,0.004,0.000,0.000
20,4,1.157,1.157,1.157,0.004,0.004,0.004,0.000,0.000
20,4,1.008,1.008,1.008,0.004,0.004,0.004,0.000,0.000
20,4,1.097,1.097,1.097,0.004,0.004,0.004,0.000,0.000
20,4,1.119,1.119,1.119,0.005,0.005,0.005,0.000,0.000
20,4,1.023,1.023,1.023,0.004,0.004,0.004,0.000,0.000
20,4,1.159,1.159,1.159,0.004,0.004,0.004,0.000,0.000
20,4,1.063,1.063,1.063,0.005,0.005,0.005,0.000,0.000
20,4,1.043,1.043,1.043,0.004,0.004,0.004,0.000,0.000
20,4,1.278,1.278,1.278,0.005,0.005,0.005,0.000,0.000
20,4,1.088,1.088,1.088,0.004,0.004,0.004,0.000,0.000
20,4,1.051,1.051,1.051,0.004,0.004,0.004,0.000,0.000
20,4,1.090,1.090,1.090,0.005,0.005,0.005,0.000,0.000
20,4,1.093,1.093,1.093,0.004,0.004,0.004,0.000,0.000
20,4,1.001,1.001,1.001,0.004,0.004,0.004,0.000,0.000
20,4,1.073,1.073,1.073,0.005,0.005,0.005,0.000,0.000
20,4,1.328,1.328,1.328,0.004,0.004,0.004,0.000,0.000
20,4,1.191,1.191,1.191,0.005,0.005,0.005,0.000,0.000
20,4,1.016,1.016,1.016,0.004,0.004,0.004,0.000,0.000
20,4,1.006,1.006,1.006,0.005,0.005,0.005,0.000,0.000
20,4,1.062,1.062,1.062,0.004,0.004,0.004,0.000,0.000
20,4,1.060,1.060,1.060,0.005,0.005,0.005,0.000,0.000
20,4,1.210,1.210,1.210,0.004,0.004,0.004,0.000,0.000
20,4,1.045,1.045,1.045,0.011,0.011,0.011,0.000,0.000
20,4,1.084,1.084,1.084,0.004,0.004,0.004,0.000,0.000
20,4,1.066,1.066,1.066,0.005,0.005,0.005,0.000,0.000
20,4,1.181,1.181,1.181,0.005,0.005,0.005,0.000,0.000
20,4,1.021,1.021,1.021,0.006,0.006,0.006,0.000,0.000
20,4,1.128,1.128,1.128,0.004,0.004,0.004,0.000,0.000
20,4,1.160,1.160,1.160,0.005,0.005,0.005,0.000,0.000
20,4,1.144,1.144,1.144,0.005,0.005,0.005,0.000,0.000
20,4,1.368,1.368,1.368,0.004,0.004,0.004,0.000,0.000
20,4,1.106,1.106,1.106,0.005,0.005,0.005,0.000,0.000
20,4,1.106,1.106,1.106,0.004,0.004,0.004,0.000,0.000
20,4,1.357,1.357,1.357,0.004,0.004,0.004,0.000,0.000
20,4,1.092,1.092,1.092,0.005,0.005,0.005,0.000,0.000
20,4,1.080,1.080,1.080,0.004,0.004,0.004,0.000,0.000
20,4,1.084,1.084,1.084,0.006,0.006,0.006,0.000,0.000
20,4,1.131,1.131,1.131,0.005,0.005,0.005,0.000,0.000
20,4,1.075,1.075,1.075,0.005,0.005,0.005,0.000,0.000
20,4,1.140,1.140,1.140,0.004,0.004,0.004,0.000,0.000
20,4,1.165,1.165,1.165,0.004,0.004,0.004,0.000,0.000
20,4,1.099,1.099,1.099,0.005,0.005,0.005,0.000,0.000
20,4,1.207,1.207,1.207,0.004,0.004,0.004,0.000,0.000
20,4,1.024,1.024,1.024,0.004,0.004,0.004,0.000,0.000
20,4,1.088,1.088,1.088,0.004,0.004,0.004,0.000,0.000
20,4,1.366,1.366,1.366,0.004,0.004,0.004,0.000,0.000
20,4,1.115,1.115,1.115,0.004,0.004,0.004,0.000,0.000
20,4,1.081,1.081,1.081,0.004,0.004,0.004,0.000,0.000
20,4,1.049,1.049,1.049,0.005,0.005,0.005,0.000,0.000
20,4,1.168,1.168,1.168,0.005,0.005,0.005,0.000,0.000
20,4,1.127,1.127,1.127,0.004,0.004,0.004,0.000,0.000
20,4,1.039,1.039,1.039,0.004,0.004,0.004,0.000,0.000
20,4,1.112,1.112,1.112,0.004,0.004,0.004,0.000,0.000
20,4,1.141,1.141,1.141,0.004,0.004,0.004,0.000,0.000
20,4,1.137,1.137,1.137,0.005,0.005,0.005,0.000,0.000
20,4,1.070,1.070,1.070,0.004,0.004,0.004,0.000,0.000
20,4,1.269,1.269,1.269,0.004,0.004,0.004,0.000,0.000
20,4,1.085,1.085,1.085,0.004,0.004,0.004,0.000,0.000
20,4,1.058,1.058,1.058,0.005,0.005,0.005,0.000,0.000
20,4,1.306,1.306,1.306,0.004,0.004,0.004,0.000,0.000
20,4,1.125,1.125,1.125,0.004,0.004,0.004,0.000,0.000
20,5,1.207,1.207,1.207,0.007,0.007,0.007,0.000,0.000
20,5,1.030,1.030,1.030,0.004,0.004,0.004,0.000,0.000
20,5,1.157,1.157,1.157,0.005,0.005,0.005,0.000,0.000
20,5,1.000,1.000,1.000,0.004,0.004,0.004,0.000,0.000
20,5,1.227,1.227,1.227,0.004,0.004,0.004,0.000,0.000
20,5,1.148,1.148,1.148,0.005,0.005,0.005,0.000,0.000
20,5,1.034,1.034,1.034,0.004,0.004,0.004,0.000,0.000
20,5,1.136,1.136,1.136,0.004,0.004,0.004,0.000,0.000
20,5,1.069,1.069,1.069,0.005,0.005,0.005,0.000,0.000
20,5,1.159,1.159,1.159,0.004,0.004,0.004,0.000,0.000
20,5,1.180,1.180,1.180,0.004,0.004,0.004,0.000,0.000
20,5,1.220,1.220,1.220,0.004,0.004,0.004,0.000,0.000
20,5,1.157,1.157,1.157,0.004,0.004,0.004,0.000,0.000
20,5,1.109,1.109,1.109,0.004,0.004,0.004,0.000,0.000
20,5,1.132,1.132,1.132,0.004,0.004,0.004,0.000,0.000
20,5,1.161,1.161,1.161,0.004,0.004,0.004,0.000,0.000
20,5,1.178,1.178,1.178,0.005,0.005,0.005,0.000,0.000
20,5,1.218,1.218,1.218,0.006,0.006,0.006,0.000,0.000
20,5,1.124,1.124,1.124,0.004,0.004,0.004,0.000,0.000
20,5,1.081,1.081,1.081,0.004,0.004,0.004,0.000,0.000
20,5,1.168,1.168,1.168,0.004,0.004,0.004,0.000,0.000
20,5,1.078,1.078,1.078,0.005,0.005,0.005,0.000,0.000
20,5,1.194,1.194,1.194,0.004,0.004,0.004,0.000,0.000
20,5,1.096,1.096,1.096,0.004,0.004,0.004,0.000,0.000
20,5,1.034,1.034,1.034,0.004,0.004,0.004,0.000,0.000
20,5,1.253,1.253,1.253,0.004,0.004,0.004,0.000,0.000
20,5,1.124,1.124,1.124,0.004,0.004,0.004,0.000,0.000
20,5,1.044,1.044,1.044,0.004,0.004,0.004,0.000,0.000
20,5,1.339,1.339,1.339,0.004,0.004,0.004,0.000,0.000
20,5,1.284,1.284,1.284,0.005,0.005,0.005,0.000,0.000
20,5,1.019,1.019,1.019,0.004,0.004,0.004,0.000,0.000
20,5,1.231,1.231,1.231,0.005,0.005,0.005,0.000,0.000
20,5,1.047,1.047,1.047,0.004,0.004,0.004,0.000,0.000
20,5,1.000,1.000,1.000,0.004,0.004,0.004,0.000,0.000
20,5,1.011,1.011,1.011,0.004,0.004,0.004,0.000,0.000
20,5,1.061,1.061,1.061,0.004,0.004,0.004,0.000,0.000
20,5,1.182,1.182,1.182,0.004,0.004,0.004,0.000,0.000
20,5,1.094,1.094,1.094,0.005,0.005,0.005,0.000,0.000
20,5,1.016,1.016,1.016,0.005,0.005,0.005,0.000,0.000
20,5,1.403,1.403,1.403,0.004,0.004,0.004,0.000,0.000
20,5,1.064,1.064,1.064,0.004,0.004,0.004,0.000,0.000
20,5,1.158,1.158,1.158,0.004,0.004,0.004,0.000,0.000
20,5,1.101,1.101,1.101,0.004,0.004,0.004,0.000,0.000
20,5,1.066,1.066,1.066,0.004,0.004,0.004,0.000,0.000
20,5,1.081,1.081,1.081,0.004,0.004,0.004,0.000,0.000
20,5,1.008,1.008,1.008,0.004,0.004,0.004,0.000,0.000
20,5,1.029,1.029,1.029,0.004,0.004,0.004,0.000,0.000
20,5,1.031,1.031,1.031,0.005,0.005,0.005,0.000,0.000
20,5,1.098,1.098,1.098,0.004,0.004,0.004,0.000,0.000
20,5,1.173,1.173,1.173,0.004,0.004,0.004,0.000,0.000
20,5,1.160,1.160,1.160,0.004,0.004,0.004,0.000,0.000
20,5,1.081,1.081,1.081,0.004,0.004,0.004,0.000,0.000
20,5,1.053,1.053,1.053,0.004,0.004,0.004,0.000,0.000
20,5,1.014,1.014,1.014,0.005,0.005,0.005,0.000,0.000
20,5,1.148,1.148,1.148,0.004,0.004,0.004,0.000,0.000
20,5,1.092,1.092,1.092,0.004,0.004,0.004,0.000,0.000
20,5,1.234,1.234,1.234,0.005,0.005,0.005,0.000,0.000
20,5,1.388,1.388,1.388,0.004,0.004,0.004,0.000,0.000
20,5,1.241,1.241,1.241,0.005,0.005,0.005,0.000,0.000
20,5,1.267,1.267,1.267,0.004,0.004,0.004,0.000,0.000
20,5,1.165,1.165,1.165,0.004,0.004,0.004,0.000,0.000
20,5,1.012,1.012,1.012,0.005,0.005,0.005,0.000,0.000
20,5,1.197,1.197,1.197,0.004,0.004,0.004,0.000,0.000
20,5,1.146,1.146,1.146,0.004,0.004,0.004,0.000,0.000
20,5,1.010,1.010,1.010,0.005,0.005,0.005,0.000,0.000
20,5,1.183,1.183,1.183,0.004,0.004,0.004,0.000,0.000
20,5,1.043,1.043,1.043,0.004,0.004,0.004,0.000,0.000
20,5,1.112,1.112,1.112,0.004,0.004,0.004,0.000,0.000
20,5,1.111,1.111,1.111,0.004,0.004,0.004,0.000,0.000
20,5,1.009,1.009,1.009,0.005,0.005,0.005,0.000,0.000
20,5,1.138,1.138,1.138,0.004,0.004,0.004,0.000,0.000
20,5,1.041,1.041,1.041,0.008,0.008,0.008,0.000,0.000
20,5,1.222,1.222,1.222,0.004,0.004,0.004,0.000,0.000
20,5,1.078,1.078,1.078,0.004,0.004,0.004,0.000,0.000
20,5,1.276,1.276,1.276,0.011,0.011,0.011,0.000,0.000
20,5,1.145,1.145,1.145,0.006,0.006,0.006,0.000,0.000
20,5,1.233,1.233,1.233,0.005,0.005,0.005,0.000,0.000
20,5,1.326,1.326,1.326,0.008,0.008,0.008,0.000,0.000
20,5,1.143,1.143,1.143,0.004,0.004,0.004,0.000,0.000
20,5,1.303,1.303,1.303,0.005,0.005,0.005,0.000,0.000
20,5,1.062,1.062,1.062,0.004,0.004,0.004,0.000,0.000
20,5,1.105,1.105,1.105,0.004,0.004,0.004,0.000,0.000
20,5,1.330,1.330,1.330,0.004,0.004,0.004,0.000,0.000
20,5,1.096,1.096,1.096,0.004,0.004,0.004,0.000,0.000
20,5,1.268,1.268,1.268,0.004,0.004,0.004,0.000,0.000
20,5,1.069,1.069,1.069,0.004,0.004,0.004,0.000,0.000
20,5,1.094,1.094,1.094,0.004,0.004,0.004,0.000,0.000
